user_id,item_id,target
5515,2766,1
7899,892,0
8122,3741,0
4933,3216,1
9455,4584,1
5062,2493,1
9747,1776,1
3145,1871,1
8806,1103,1
8056,4852,0
378,477,0
2929,1802,1
2925,3893,0
2694,3238,0
8341,4170,1
4132,2168,0
5002,2982,0
4813,4082,0
5978,4660,0
8003,3839,1
157,2781,1
5300,1074,1
4315,4853,1
1778,2960,0
9902,1204,0
9170,4231,1
7683,548,1
4201,4044,0
8778,4872,0
1302,879,0
3022,2181,0
4179,1542,1
9742,1866,0
3505,3141,0
707,2168,0
4071,1965,0
3354,3389,0
6782,538,0
913,3205,0
7282,4014,0
2702,1307,0
9605,2776,0
2747,4040,0
261,4686,0
9191,3271,0
6123,2365,0
3050,3718,0
3000,4433,0
5241,1339,1
4898,3648,0
2598,2329,0
6276,3871,0
2617,3109,0
8370,1577,1
4852,4077,0
9992,389,1
1825,998,1
2189,970,0
6541,3629,0
6529,713,1
794,2492,0
7741,2424,0
483,3002,0
117,3558,0
765,2551,1
7594,3095,0
4086,3040,1
7812,1833,0
3784,478,0
8898,2376,0
5136,2766,1
9696,4535,0
6851,2437,0
6871,2139,0
170,4786,1
4734,869,1
8185,813,0
7411,3832,1
2132,3094,1
3344,610,0
9666,4341,0
4200,2625,0
5399,320,0
556,3244,0
9084,753,0
9631,4960,0
7829,4553,0
9015,3119,0
9048,1481,0
7533,1708,0
5881,1860,0
7702,3755,0
5953,1967,0
6304,3446,0
6618,4079,1
1171,4511,1
8530,1873,0
377,2711,0
6764,3099,1
7792,2783,1
8706,3678,0
8509,4556,0
5442,2277,0
999,2967,1
7966,2203,1
5856,4007,0
380,1333,0
9658,1926,1
2923,630,0
1378,3658,1
7418,1021,0
1719,393,1
3194,596,0
5038,678,0
8987,236,0
5340,1604,0
5299,2361,0
3501,2594,0
2781,3695,0
4064,125,0
6971,607,1
6596,4506,1
1505,4936,1
9518,2614,0
526,4185,0
2725,1111,1
6987,1441,0
4984,2775,1
4576,189,1
2965,863,0
6862,2803,0
9574,1440,0
4706,787,0
3035,2395,0
9978,3844,0
3507,518,0
3499,939,1
9470,4283,1
1704,2414,0
7529,2448,0
6895,3088,0
645,2660,1
1090,614,1
2260,846,0
2178,4153,1
2066,4285,0
2766,4569,0
2343,987,1
4986,4035,0
636,574,0
9175,3658,1
9678,3311,1
7620,3774,0
815,2884,1
663,489,0
2697,343,0
974,3756,0
7151,2137,1
1946,2111,1
8385,842,0
9412,4965,0
8375,4774,1
3183,4944,0
9145,4770,0
7572,1467,0
6007,748,0
6098,4183,0
8838,3461,0
9981,1938,0
9452,258,0
5702,4264,0
3857,2154,0
7764,4999,0
9344,3580,0
25,3458,0
677,2262,0
7765,2617,1
2413,514,0
306,2913,0
6823,366,0
1664,290,1
2742,2305,0
4589,1515,0
1935,636,0
369,1306,1
3506,3303,0
6262,1812,0
4662,3888,0
4059,57,0
8108,1177,0
1319,2558,0
7240,1019,1
7038,3251,1
234,2620,0
250,1850,0
4147,1231,0
1714,4004,0
322,3374,0
7292,4610,0
4182,1242,1
7263,2825,0
3306,225,0
6949,4904,1
1782,1485,1
5372,3289,1
76,3785,1
7618,2727,0
4666,2220,1
3881,872,0
9064,2367,0
3047,4312,0
6912,1051,0
2774,1746,0
2992,1407,0
5673,4032,0
5016,250,1
1903,1550,1
3609,4745,0
5940,4249,0
7140,2075,0
1527,69,0
7353,2583,0
1214,4501,0
8222,563,0
9484,3761,0
4198,4838,0
3457,4962,1
992,46,0
3757,1142,0
9786,4744,0
3587,438,0
4203,4135,0
8773,171,0
8262,632,0
219,3184,0
3598,1276,0
511,2160,0
4803,4250,0
9648,4277,0
5406,2882,0
7372,520,1
6697,1096,1
51,2263,0
5108,3210,0
6573,2608,0
6388,2224,1
2947,3242,1
9052,918,1
6307,435,0
1370,187,0
5901,3650,0
6830,1253,0
4884,2891,0
5341,3479,1
3582,1260,0
8621,755,1
6829,354,1
2441,3296,1
9127,325,0
5923,791,0
7842,1417,0
9784,2589,0
8516,3002,0
1164,12,0
6564,2165,0
3074,3798,1
8872,4808,0
3201,2865,0
4002,2557,1
9285,575,0
1904,3801,0
1939,4336,1
7824,1603,1
3744,3758,0
6844,2275,0
1299,4049,0
7001,1229,1
4551,4288,1
821,1217,0
4280,1369,1
8831,465,0
9963,427,1
6248,3369,0
6565,2832,0
892,4674,1
3309,3379,0
7959,2746,1
9251,1536,1
3685,4506,0
6462,1490,0
2465,3297,1
9408,2331,0
854,4664,0
7373,3607,0
687,1870,0
5372,4221,0
2757,3596,0
5653,4487,0
8381,490,0
7283,4137,0
6927,419,0
7185,2111,0
1410,2828,0
9904,3124,1
7733,597,0
3248,3554,0
7512,2993,0
2256,4798,1
3238,902,0
996,3052,1
9324,2078,0
2890,2115,0
1991,3853,1
8979,2481,0
7900,1699,1
1034,3583,1
7291,1506,0
2925,3346,0
5204,4429,0
4129,2261,0
9960,2959,1
1004,1841,1
8932,1604,0
4237,1903,0
2349,2432,0
763,1613,0
4607,3417,0
3256,3556,1
7295,1172,0
6826,4306,0
132,3013,0
1811,980,1
4854,1451,0
7164,4758,0
974,2350,0
6795,3139,0
545,297,0
2073,624,0
2473,2358,0
200,941,0
2178,962,0
7155,2835,0
8854,2341,0
6368,2371,0
5634,2155,0
5184,1956,0
5898,318,0
4399,3253,1
9053,2847,0
2824,4513,0
7412,733,1
9972,329,0
1447,618,1
3120,381,0
5873,4341,0
3002,294,0
6995,313,1
7756,1227,0
1,2762,0
5028,631,0
2972,876,0
1723,3180,1
7214,2753,0
5003,2357,0
7245,1524,0
9034,4457,1
5085,3377,0
7056,1374,1
5474,4015,1
4308,4818,0
571,3022,0
1109,4037,1
4350,1122,1
8134,97,1
750,2092,1
5360,2398,0
5197,2085,1
9222,609,0
8956,3913,0
8028,756,1
5378,552,1
6227,4929,0
9640,144,0
5094,1667,1
3114,3645,1
5481,4509,0
8979,3563,0
9658,1130,0
5665,4837,1
9717,3397,1
1289,1101,1
877,3163,1
2142,699,0
8185,867,0
7281,4560,0
3545,3542,1
9690,530,0
3390,2422,0
1810,485,1
4062,985,1
2627,119,0
3919,4725,0
6333,3480,0
3647,1837,1
3811,2949,0
4634,1296,0
1492,1740,0
6341,4177,0
4391,192,0
5057,3575,1
7037,4970,1
5262,2038,0
442,1233,0
5447,4734,0
1372,4332,0
9559,47,1
6601,3026,0
8339,3714,0
7745,4759,0
8759,227,0
6563,3793,1
7054,396,0
386,4901,1
4580,2651,0
5145,1706,0
685,3949,0
7746,687,0
7795,3663,0
9850,2432,0
7517,1229,0
